year,domain,title,representation,realism,scale,url,author
2016,Power,Network Repository. An Interactive Scientific Network Data Repository.,Attributed Graph,Anonymized,Large-Benchmark,https://networkrepository.com/power.php,Ryan A. Rossi and Nesreen K. Ahmed
2020,Electronics,hehaodele/circuit-gnn: [ICML 2019] Circuit-GNN: Graph Neural Networks for Distributed Circuit Design http://circuit-gnn.csail.mit.edu/ Â· GitHub,Attributed Graph,Synthetic,Large-Benchmark,https://github.com/hehaodele/circuit-gnn,Guo Zhang and Hao He and Dina Katabi
2022,Power,Dynamic stability of synthetic power grid models,Attributed Graph,Synthetic,Large-Benchmark,https://zenodo.org/records/8204334,Christian Nauck and Michael Lindner and Frank Hellmann
2024,Electronics,circuitnet/CircuitNet: CircuitNet: An Open-Source Dataset for Machine Learning Applications in Electronic Design Automation (EDA) Â· GitHub,Attributed Graph,Real,Large-Benchmark,https://github.com/circuitnet/CircuitNet,Zhumin Chai and Xun Jiang and Yuxiang Zhao and Yibo Lin
2024,Electronics,OpenABC-D: A Large-Scale Dataset For Machine Learning Guided Integrated Circuit Synthesis,Attributed Graph,Synthetic,Large-Benchmark,https://ultraviolet.library.nyu.edu/records/mw6q2-a8p15,Animesh Basak Chowdhury and Benjamin Tan and Ramesh Karri and Siddarth Garg
2024,Electronics,IntelLabs/FloorSet,Attributed Graph,Anonymized,Large-Benchmark,https://github.com/IntelLabs/FloorSet/tree/main,Uday Mallappa and Hesham Mostafa
2025,Infrastructure,SustaGraph_electrical_dataset,Attributed Graph,Anonymized,Small/Single-domain,https://data.mendeley.com/datasets/4vdpxdd7vp/1,Olumayowa Temitope Onabanjo and Carlos Francisco Moreno-García and Gemma Martinez-Huerta and Marina Díaz Piloñeta and Joaquin Villanueva-Balsera
2026,Electronics,The GraphPCB Dataset | IEEE DataPort,Attributed Graph,Real,Small/Single-domain,https://ieee-dataport.org/documents/graphpcb-dataset,Tian Lan and Yuhang Wang and Feng Ji and Xinrui Wang and Deruo Cheng and Yiqiong Shi and Bah-Hwee Gwee
2019,Electronics,Chia-Wen Kuo - PCB Component Detection,Fully Annotated Image,Real,Small/Single-domain,https://sites.google.com/view/chiawen-kuo/home/pcb-component-detection,Chia-Wen Kuo and Jacob D. Ashmore and David Huggins and Zsolt Kira
2023,Electronics,Hand-drawn Power Converter Circuit Diagrams | IEEE DataPort,Fully Annotated Image,Real,Small/Single-domain,https://ieee-dataport.org/documents/hand-drawn-power-converter-circuit-diagrams,Bharat Bohara and Harish S. Krishnamoorthy
2024,Electronics,Circuit-VQA: A Visual Question Answering Dataset for Electrical Circuit Images,Fully Annotated Image,Real,Large-Benchmark,https://github.com/rahcode7/Circuit-VQA/tree/main,Rahul Mehta
2025,Electronics,A Public Ground-Truth Dataset for Handwritten Circuit Diagram Images,Fully Annotated Image,Real,Large-Benchmark,https://zenodo.org/records/17469897,Johannes Bayer
2026,Electronics,FPIC-Component - Dataset Ninja,Fully Annotated Image,Real,Small/Single-domain,https://datasetninja.com/fpic-component,Nathan Jessurun and Olivia P. Dizon-Paradis and Jacob Harrison and Shajib Ghosh and Mark M. Tehranipoor and Damon L. Woodard and Navid Asadizanjani
2022,Electronics,kkunal1408/GANA_circuit_data: just checking,Multimodal Graph,Real,Small/Single-domain,https://github.com/kkunal1408/GANA_circuit_data/tree/master,Kishor Kunal and Tonmoy Dhar and Meghna Madhusudan and Jitesh Poojary and Arvind Sharma and Wenbin Xu and Steven M. Burns and Jiang Hu and Ramesh Harjani and Sachin S. Sapatnekar
2024,Electronics,Hand-drawn electrical circuit diagram graph generation | IEEE DataPort,Multimodal Graph,Real,Small/Single-domain,https://ieee-dataport.org/documents/hand-drawn-electrical-circuit-diagram-graph-generation,Bharat Bohara and Harish S. Krishnamoorthy
2022,Electronics,NetlistProject_V2 Dataset > Overview,Partially Annotated Image,Real,Small/Single-domain,https://universe.Roboflow.com/ahmet-emre/netlistproject_v2,Ahmet Emre
2023,Electronics,JUHCCR-v1-A,Partially Annotated Image,Real,Small/Single-domain,https://www.kaggle.com/datasets/ayush02102001/circuit-component-analysis/data?select=CktComDb-v1.a,Ayush Roy and Saptarshi Pani and Samir Malakar and Erik Cuevas and Marco PÃ©rez-Cisneros and Ram Sarkar
2023,Electronics,Circuits Model > Overview,Partially Annotated Image,Real,Small/Single-domain,https://universe.Roboflow.com/zavrsni/circuits-oxmv9,Zavrsni
2023,Electronics,Circuit Recognition Model > Overview,Partially Annotated Image,Real,Small/Single-domain,https://universe.Roboflow.com/rp-project/circuit-recognition,RP Project
2023,Electronics,CIrcuit Recognition Model > Overview,Partially Annotated Image,Real,Small/Single-domain,https://universe.Roboflow.com/ml-circuit-recognition/circuit-recognition-xddcj,ML Circuit Recognition
2024,Infrastructure,Electrical-Symbol-recognition-and-Wiring-design/input_wiring_image/BR.E2.1.png at main Â· IKENNA113/Electrical-Symbol-recognition-and-Wiring-design,Partially Annotated Image,Real,Small/Single-domain,https://github.com/IKENNA113/Electrical-Symbol-recognition-and-Wiring-design,Ikenna Ekeke
2024,Infrastructure,electrical Model > Overview,Partially Annotated Image,Real,Small/Single-domain,https://universe.Roboflow.com/thesis-4pfnk/electrical-42wl4,thesis
2024,Infrastructure,electrical plan Model > Overview,Partially Annotated Image,Real,Small/Single-domain,https://universe.Roboflow.com/workspace-terhb/electrical-plan,workspace
2024,Electronics,circuit elements Dataset,Partially Annotated Image,Real,Large-Benchmark,https://universe.Roboflow.com/Roboflow-100/circuit-elements,Roboflow
2024,Electronics,Circuit Component Detection Model > Overview,Partially Annotated Image,Real,Small/Single-domain,https://universe.Roboflow.com/nadim-ahmed/circuit-component-detection-9wiz7,Nadim Ahmed
